,C=0.01,C=0.02,C=0.03,C=0.1,C=0.2,C=0.3,C=1,C=2,C=3
0.0,0.7330980478658873,0.7421418330208448,0.7405977721407301,0.7273629645968899,0.7210764310135657,0.7186500496305283,0.7097165545384361,0.7011139296349399,0.6978052277489798
0.1,0.7469378047330242,0.7560975609756098,0.7533449680046539,0.7392762169036883,0.7326789838337182,0.7292913023469857,0.7167656464138876,0.707008547008547,0.7034686012242122
0.2,0.7630563416516594,0.7670036191189318,0.7667242656134288,0.7516109422492401,0.7442337881898321,0.7395783421178725,0.7239379955034907,0.7134139185541604,0.7093647828117702
0.30000000000000004,0.7757753562447611,0.7817285923558397,0.778418775403173,0.7635967162647511,0.7558418592901351,0.7498744979919679,0.7302639656230816,0.719442761962447,0.7164538665381835
0.4,0.7895057962172056,0.7942865345966121,0.7905547016906526,0.7766793066088841,0.7645653616456536,0.759500328731098,0.7366276107997962,0.7269650244452802,0.723692384147099
0.5,0.8023158248028193,0.8041396354649367,0.8004484304932735,0.7856227758007117,0.7743775212129642,0.7661657245277816,0.7464956360751124,0.7349663037843442,0.7292520491803278
0.6000000000000001,0.8125695216907676,0.8163469557964971,0.8144430051813472,0.7960506481760627,0.7833919156414763,0.7748554913294797,0.7550571074721343,0.7410929547281008,0.7349874620562228
0.7000000000000001,0.8265475695886996,0.8284783788673783,0.8257773145735626,0.8076187440229519,0.7948401050517534,0.7851919561243145,0.7612303290414878,0.7472954230235783,0.73872769377469
0.8,0.8354958294717331,0.8392751624975379,0.8366772923307707,0.8157273034087074,0.8029411764705883,0.7957351290684624,0.7680119581464873,0.7535857716580608,0.7444381864263587
0.9,0.8476996298254892,0.8516829533116178,0.8483614899246896,0.8236559139784946,0.813632441760138,0.8056720926329921,0.7740931029114121,0.7590902289390992,0.7506584723441615
1.0,0.8586355255070682,0.8604429626101453,0.8571743929359823,0.8335869151768733,0.8240538573508006,0.8143236074270557,0.782608695652174,0.7643055985153109,0.7577592732778198
1.1,0.8663967611336032,0.8688177730759058,0.8683453237410071,0.847457627118644,0.8342945021145713,0.8205510052122115,0.7892603850050659,0.770856866225593,0.7624843945068664
1.2000000000000002,0.8758404303003138,0.8764810426540285,0.8762941332625431,0.8614746945898778,0.8434888934175667,0.8285209192692987,0.7947396481251111,0.7749664879356568,0.7692557686057848
1.3,0.8747931605074463,0.8871021775544389,0.8843359488520779,0.8711785297549591,0.8510822510822511,0.8367644000831774,0.8022039596563317,0.7809989521480964,0.7729419703103914
1.4000000000000001,0.8808180535966149,0.8963414634146342,0.8897535667963683,0.875968992248062,0.860803324099723,0.848919276576974,0.8075420085971082,0.7872727272727272,0.7790064946463051
1.5,0.8722222222222222,0.8999561211057482,0.8991291727140783,0.8858214955775932,0.8694362017804155,0.8563393484883993,0.8137295081967213,0.791983282674772,0.7824899890789953
1.6,0.8617992177314211,0.905241935483871,0.9053447572419421,0.8892111368909513,0.8769799366420274,0.8648445336008024,0.8195100988397078,0.7952662721893491,0.7852006056018168
1.7000000000000002,0.866913123844732,0.9080257762155829,0.9139834406623735,0.8958921291941048,0.882768361581921,0.8714057507987221,0.8280399274047187,0.7996705785464279,0.7900236593059937
1.8,0.8693333333333333,0.9073438572409059,0.9140341791817711,0.902919212491514,0.8908045977011494,0.8799095789771122,0.8337326305701964,0.804553264604811,0.7947250051114292
1.9000000000000001,0.8576642335766423,0.9068627450980392,0.9195470798569726,0.9106083086053413,0.8977198697068404,0.8863497867154174,0.8423694779116466,0.8097593883516978,0.7994886000426167
2.0,0.8652849740932642,0.9055276381909547,0.9210164835164835,0.9160613397901534,0.9046121593291404,0.8954248366013072,0.8473503822831532,0.817923186344239,0.8066889632107024
2.1,0.8897058823529411,0.9111389236545682,0.9234411996842936,0.9214474845542807,0.9104252916823485,0.9008061689449702,0.8542825361512792,0.8213755566551212,0.8101884159106769
2.2,0.8913043478260869,0.9071207430340558,0.9218604651162791,0.9243085880640466,0.9144016227180527,0.9067164179104478,0.8592089728453365,0.8265730629225169,0.8149683081423695
2.3000000000000003,0.9047619047619048,0.9069767441860465,0.920935412026726,0.9261031366294524,0.9189784236019375,0.9111907606531262,0.8645121193287756,0.8336509665123877,0.817125536751705
2.4000000000000004,0.9302325581395349,0.9154228855721394,0.9227642276422764,0.9311359623307828,0.9211520302171861,0.9136968656075569,0.8685845047401112,0.8368915456874466,0.8227680929741151
2.5,0.9333333333333333,0.906832298136646,0.9229534510433387,0.9367588932806324,0.9237461617195496,0.9165894346617238,0.8746996223824236,0.841664172403472,0.8289983397897067
2.6,0.9473684210526315,0.9083969465648855,0.9245647969052224,0.940406976744186,0.9297658862876255,0.9211576846307385,0.8785791953606379,0.8464678178963894,0.8314220183486238
2.7,0.9333333333333333,0.9230769230769231,0.9270588235294117,0.9418789808917197,0.9337788578371811,0.9287257019438445,0.8828516377649326,0.8502954694681549,0.8332834480694403
2.8000000000000003,0.9,0.934640522875817,0.9323943661971831,0.9424460431654677,0.9367588932806324,0.9325973271353865,0.8865598027127004,0.8548387096774194,0.8377957658779577
2.9000000000000004,0.8571428571428571,0.9298245614035088,0.926056338028169,0.948170731707317,0.945095168374817,0.9353826850690088,0.8929663608562691,0.8623787279913762,0.8437904269081501
3.0,0.0,0.9204545454545454,0.9253112033195021,0.9510250569476082,0.9454253611556982,0.9384404924760602,0.9023600185099491,0.8668929110105581,0.8479512360311547
3.1,0.0,0.9178082191780822,0.9365079365079365,0.9502617801047121,0.9473222124670764,0.9406968124536694,0.9047386419149975,0.8709805478364431,0.85
3.2,0.0,0.9245283018867925,0.9415584415584416,0.9513991163475699,0.9458937198067633,0.9434571890145396,0.9065762004175365,0.8732217573221758,0.8521256931608133
3.3000000000000003,0.0,0.9,0.9457364341085271,0.949748743718593,0.9505783385909569,0.9447907390917186,0.9113712374581939,0.8733953076582559,0.85546875
3.4000000000000004,0.0,0.8857142857142857,0.9523809523809523,0.9485714285714286,0.951764705882353,0.9457364341085271,0.9126328217237308,0.8726084927671488,0.856909239574816
3.5,0.0,0.96,0.9411764705882353,0.9545454545454546,0.9536679536679536,0.946259220231823,0.9171410499683744,0.8767123287671232,0.8604551309574925
3.6,0.0,0.9473684210526315,0.948051948051948,0.9529702970297029,0.9608695652173913,0.9477866061293984,0.9189736664415935,0.8803952158086323,0.8609865470852018
3.7,0.0,1.0,0.9344262295081968,0.9515669515669516,0.9617224880382775,0.9516129032258065,0.9218077474892395,0.881004366812227,0.8616619452313503
3.8000000000000003,0.0,1.0,0.9148936170212766,0.948051948051948,0.9611992945326279,0.9544827586206897,0.9224865694551037,0.8843069873997709,0.8632309217046581
3.9000000000000004,0.0,1.0,0.9,0.9431818181818182,0.9603174603174603,0.9546827794561934,0.9269293924466339,0.8897058823529411,0.8639876352395672
4.0,0.0,1.0,0.896551724137931,0.9456066945606695,0.9563318777292577,0.9555921052631579,0.9268077601410935,0.8889606197546804,0.8639566395663957
4.1000000000000005,0.0,1.0,0.9259259259259259,0.9481132075471698,0.9586374695863747,0.9566003616636528,0.9305164319248826,0.8918367346938776,0.8666285060103034
4.2,0.0,1.0,1.0,0.9560439560439561,0.9565217391304348,0.9607843137254902,0.9334006054490414,0.8972701149425287,0.8721351025331725
4.3,0.0,1.0,1.0,0.948051948051948,0.9619047619047619,0.9587852494577006,0.9383634431455898,0.8996983408748115,0.8752387014640356
4.4,0.0,0.0,1.0,0.9481481481481482,0.9608540925266904,0.9570405727923628,0.9382857142857143,0.9018355945730248,0.8803191489361702
4.5,0.0,0.0,1.0,0.9391304347826087,0.9566929133858267,0.9609375,0.9408926417370326,0.9019442096365173,0.8823529411764706
4.6000000000000005,0.0,0.0,1.0,0.9607843137254902,0.9557522123893806,0.9595375722543352,0.9433719433719434,0.9033124440465533,0.8889700511322133
4.7,0.0,0.0,1.0,0.956989247311828,0.964824120603015,0.9632107023411371,0.9453551912568307,0.9045368620037807,0.8864864864864865
4.800000000000001,0.0,0.0,1.0,0.961038961038961,0.9714285714285714,0.9597069597069597,0.9434523809523809,0.9032576505429417,0.88915857605178
4.9,0.0,0.0,1.0,0.9577464788732394,0.9691358024691358,0.9644268774703557,0.947452229299363,0.9081419624217119,0.8882303132938189
5.0,0.0,0.0,1.0,0.9545454545454546,0.9668874172185431,0.9734513274336283,0.9506578947368421,0.9099890230515917,0.8907637655417406
5.1000000000000005,0.0,0.0,0.0,0.9473684210526315,0.9626865671641791,0.970873786407767,0.9504424778761061,0.9129930394431555,0.8891992551210428
5.2,0.0,0.0,0.0,0.9411764705882353,0.9565217391304348,0.967391304347826,0.9496268656716418,0.9097560975609756,0.8879227053140096
5.300000000000001,0.0,0.0,0.0,0.9302325581395349,0.9528301886792453,0.9700598802395209,0.9487179487179487,0.9104859335038363,0.8924949290060852
5.4,0.0,0.0,0.0,0.9142857142857143,0.967741935483871,0.972027972027972,0.9470338983050848,0.9144385026737968,0.8957446808510638
5.5,0.0,0.0,0.0,0.896551724137931,0.9605263157894737,0.9699248120300752,0.9519450800915332,0.9134078212290503,0.8993288590604027
5.6000000000000005,0.0,0.0,0.0,0.8888888888888888,0.9545454545454546,0.9672131147540983,0.9537712895377128,0.9117647058823529,0.9009433962264151
5.7,0.0,0.0,0.0,0.9,0.9649122807017544,0.9724770642201835,0.959349593495935,0.9075235109717869,0.9
5.800000000000001,0.0,0.0,0.0,1.0,0.9591836734693877,0.9693877551020408,0.9575070821529745,0.9113712374581939,0.8990944372574385
5.9,0.0,0.0,0.0,1.0,0.9761904761904762,0.9659090909090909,0.9578313253012049,0.9097345132743363,0.898236092265943
6.0,0.0,0.0,0.0,1.0,0.975,0.9863013698630136,0.9573770491803278,0.9143389199255121,0.8956276445698167
6.1000000000000005,0.0,0.0,0.0,1.0,1.0,1.0,0.9612676056338029,0.9265873015873016,0.8960468521229868
6.2,0.0,0.0,0.0,1.0,1.0,1.0,0.9618320610687023,0.9273858921161826,0.8986175115207373
6.300000000000001,0.0,0.0,0.0,1.0,1.0,1.0,0.9634146341463414,0.9288888888888889,0.8969889064976229
6.4,0.0,0.0,0.0,1.0,1.0,1.0,0.9658119658119658,0.9324009324009324,0.9046822742474916
6.5,0.0,0.0,0.0,1.0,1.0,1.0,0.9719626168224299,0.940149625935162,0.9026548672566371
6.6000000000000005,0.0,0.0,0.0,1.0,1.0,1.0,0.9702970297029703,0.9366754617414248,0.9045871559633027
6.7,0.0,0.0,0.0,1.0,1.0,1.0,0.9679144385026738,0.93646408839779,0.9092664092664092
6.800000000000001,0.0,0.0,0.0,1.0,1.0,1.0,0.9709302325581395,0.9413489736070382,0.9127789046653144
6.9,0.0,0.0,0.0,0.0,1.0,1.0,0.975,0.939209726443769,0.9104477611940298
7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9733333333333334,0.9444444444444444,0.9117647058823529
