,n,bal,acc,thresh,C
225,1139,0.9469180687975969,0.9473222124670764,3.1,0.2
226,1035,0.9449314251639833,0.9458937198067633,3.2,0.2
311,1032,0.9464056338717373,0.9457364341085271,3.4000000000000004,0.3
224,1246,0.9449659743311241,0.9454253611556982,3.0,0.2
223,1366,0.9445742480523629,0.945095168374817,2.9000000000000004,0.2
310,1123,0.9459981645172197,0.9447907390917186,3.3000000000000003,0.3
309,1238,0.9434814089186081,0.9434571890145396,3.2,0.3
153,1112,0.9425003530015463,0.9424460431654677,2.8000000000000003,0.1
152,1256,0.9414760688868365,0.9418789808917197,2.7,0.1
308,1349,0.9413325230942167,0.9406968124536694,3.1,0.3
151,1376,0.9395539705637879,0.940406976744186,2.6,0.1
307,1462,0.9382236842105263,0.9384404924760602,3.0,0.3
150,1518,0.9358884297520661,0.9367588932806324,2.5,0.1
222,1518,0.9351971499762561,0.9367588932806324,2.8000000000000003,0.2
306,1594,0.9330337861372344,0.9353826850690088,2.9000000000000004,0.3
221,1646,0.933014668224974,0.9337788578371811,2.7,0.2
305,1721,0.9308692598546289,0.9325973271353865,2.8000000000000003,0.3
149,1699,0.9306516882736395,0.9311359623307828,2.4000000000000004,0.1
413,1065,0.9295329892228281,0.9305164319248826,4.1000000000000005,1.0
220,1794,0.9276426732936895,0.9297658862876255,2.6,0.2
304,1852,0.9267622869736003,0.9287257019438445,2.7,0.3
411,1218,0.9232020913358941,0.9269293924466339,3.9000000000000004,1.0
412,1134,0.923935964783365,0.9268077601410935,4.0,1.0
148,1881,0.9249944970283954,0.9261031366294524,2.3000000000000003,0.1
147,2061,0.9235217332766739,0.9243085880640466,2.2,0.1
219,1954,0.9212635677206229,0.9237461617195496,2.5,0.2
95,1267,0.9246029019213997,0.9234411996842936,2.1,0.03
410,1303,0.9174605521914873,0.9224865694551037,3.8000000000000003,1.0
96,1075,0.9234730630420862,0.9218604651162791,2.2,0.03
409,1394,0.9172185879402095,0.9218077474892395,3.7,1.0
146,2266,0.919528826856413,0.9214474845542807,2.1,0.1
303,2004,0.9182927445574354,0.9211576846307385,2.6,0.3
218,2118,0.9185017972972289,0.9211520302171861,2.4000000000000004,0.2
94,1456,0.9206922745700197,0.9210164835164835,2.0,0.03
93,1678,0.920386518243661,0.9195470798569726,1.9000000000000001,0.03
217,2271,0.9168685014210814,0.9189784236019375,2.3000000000000003,0.2
408,1481,0.9141169849262334,0.9189736664415935,3.6,1.0
407,1581,0.9119304484088717,0.9171410499683744,3.5,1.0
302,2158,0.9137180985778297,0.9165894346617238,2.5,0.3
145,2478,0.913166111880284,0.9160613397901534,2.0,0.1
216,2465,0.9119243442057674,0.9144016227180527,2.2,0.2
92,1931,0.9152885052781647,0.9140341791817711,1.8,0.03
91,2174,0.9147053897119035,0.9139834406623735,1.7000000000000002,0.03
301,2329,0.9094017725630616,0.9136968656075569,2.4000000000000004,0.3
406,1694,0.9064565320015902,0.9126328217237308,3.4000000000000004,1.0
405,1794,0.9054120664519552,0.9113712374581939,3.3000000000000003,1.0
300,2511,0.9073273062634766,0.9111907606531262,2.3000000000000003,0.3
144,2696,0.907416752010977,0.9106083086053413,1.9000000000000001,0.1
215,2657,0.9078444206895127,0.9104252916823485,2.1,0.2
47,1707,0.908363913366218,0.9080257762155829,1.7000000000000002,0.02
48,1457,0.9081486249788117,0.9073438572409059,1.8,0.02
49,1224,0.9087301587301587,0.9068627450980392,1.9000000000000001,0.02
299,2680,0.9021656357296495,0.9067164179104478,2.2,0.3
404,1916,0.8987068965517242,0.9065762004175365,3.2,1.0
90,2451,0.9064118629908104,0.9053447572419421,1.6,0.03
46,1984,0.9064407022316076,0.905241935483871,1.6,0.02
403,2047,0.8981829345263908,0.9047386419149975,3.1,1.0
214,2862,0.9024836306163919,0.9046121593291404,2.0,0.2
584,1058,0.8974023358840113,0.9045368620037807,4.7,2.0
583,1117,0.8950549258326337,0.9033124440465533,4.6000000000000005,2.0
585,1013,0.8963691630769748,0.9032576505429417,4.800000000000001,2.0
143,2946,0.9013878804876323,0.902919212491514,1.8,0.1
402,2161,0.8946996063987708,0.9023600185099491,3.0,1.0
582,1183,0.8933956049419545,0.9019442096365173,4.5,2.0
581,1253,0.8939024050385976,0.9018355945730248,4.4,2.0
298,2853,0.8957976936856247,0.9008061689449702,2.1,0.3
45,2279,0.9017491137540274,0.8999561211057482,1.5,0.02
580,1326,0.8913145358504111,0.8996983408748115,4.3,2.0
89,2756,0.8998344698956694,0.8991291727140783,1.5,0.03
213,3070,0.8935844662297567,0.8977198697068404,1.9000000000000001,0.2
579,1392,0.8886504237865533,0.8972701149425287,4.2,2.0
44,2624,0.8974081397232879,0.8963414634146342,1.4000000000000001,0.02
142,3189,0.8941032715417295,0.8958921291941048,1.7000000000000002,0.1
297,3060,0.8895867130467336,0.8954248366013072,2.0,0.3
401,2289,0.8843290290105194,0.8929663608562691,2.9000000000000004,1.0
578,1470,0.8830484896661367,0.8918367346938776,4.1000000000000005,2.0
212,3306,0.8861306437483722,0.8908045977011494,1.8,0.2
813,1126,0.8810299295774648,0.8907637655417406,5.0,3.0
88,3084,0.8887142504930966,0.8897535667963683,1.4000000000000001,0.03
576,1632,0.87949251660224,0.8897058823529411,3.9000000000000004,2.0
141,3448,0.8877799271057698,0.8892111368909513,1.6,0.1
814,1074,0.8803687095166917,0.8891992551210428,5.1000000000000005,3.0
811,1236,0.8790227770588583,0.88915857605178,4.800000000000001,3.0
809,1369,0.8780962909401044,0.8889700511322133,4.6000000000000005,3.0
577,1549,0.8782870125869202,0.8889606197546804,4.0,2.0
812,1181,0.8781140323871683,0.8882303132938189,4.9,3.0
815,1035,0.8798160601265823,0.8879227053140096,5.2,3.0
43,2985,0.8881500433512411,0.8871021775544389,1.3,0.02
400,2433,0.87768261700647,0.8865598027127004,2.8000000000000003,1.0
810,1295,0.8756995945050032,0.8864864864864865,4.7,3.0
296,3282,0.8801409315591284,0.8863497867154174,1.9000000000000001,0.3
140,3731,0.8835664061734924,0.8858214955775932,1.5,0.1
87,3441,0.8840985429664675,0.8843359488520779,1.3,0.03
575,1746,0.8738058411427532,0.8843069873997709,3.8000000000000003,2.0
399,2595,0.8737486386233115,0.8828516377649326,2.7,1.0
211,3540,0.8772461384842367,0.882768361581921,1.7000000000000002,0.2
808,1428,0.8705141724986418,0.8823529411764706,4.5,3.0
574,1832,0.8692839975701873,0.881004366812227,3.7,2.0
14,1418,0.8848352137767221,0.8808180535966149,1.4000000000000001,0.01
573,1923,0.8687159207020694,0.8803952158086323,3.6,2.0
807,1504,0.8685377173335797,0.8803191489361702,4.4,3.0
295,3539,0.8726760940228729,0.8799095789771122,1.8,0.3
398,2759,0.868051318645378,0.8785791953606379,2.6,1.0
210,3788,0.8721657371421015,0.8769799366420274,1.6,0.2
572,2044,0.8638926848196511,0.8767123287671232,3.5,2.0
42,3376,0.8765722774951605,0.8764810426540285,1.2000000000000002,0.02
86,3767,0.8762888672937639,0.8762941332625431,1.2000000000000002,0.03
139,3999,0.8742670212080846,0.875968992248062,1.4000000000000001,0.1
12,2231,0.88040831232764,0.8758404303003138,1.2000000000000002,0.01
806,1571,0.86295247171776,0.8752387014640356,4.3,3.0
13,1813,0.8801893060931121,0.8747931605074463,1.3,0.01
397,2913,0.8630481667864845,0.8746996223824236,2.5,1.0
570,2259,0.8593000303145395,0.8733953076582559,3.3000000000000003,2.0
569,2390,0.8590409563821302,0.8732217573221758,3.2,2.0
571,2143,0.8589235499521028,0.8726084927671488,3.4000000000000004,2.0
15,1080,0.8764882817395663,0.8722222222222222,1.5,0.01
805,1658,0.8587990336321445,0.8721351025331725,4.2,3.0
294,3756,0.8646166134185302,0.8714057507987221,1.7000000000000002,0.3
138,4285,0.8696453284018959,0.8711785297549591,1.3,0.1
568,2519,0.8560060317545801,0.8709805478364431,3.1,2.0
209,4044,0.8648215836885652,0.8694362017804155,1.5,0.2
41,3781,0.8696803601716053,0.8688177730759058,1.1,0.02
396,3059,0.8557928765225423,0.8685845047401112,2.4000000000000004,1.0
85,4170,0.8682463412232438,0.8683453237410071,1.1,0.03
567,2652,0.850813848212252,0.8668929110105581,3.0,2.0
804,1747,0.8515228462745907,0.8666285060103034,4.1000000000000005,3.0
11,2717,0.871590765992126,0.8663967611336032,1.1,0.01
293,3988,0.8568188236781142,0.8648445336008024,1.6,0.3
395,3218,0.8511219547068218,0.8645121193287756,2.3000000000000003,1.0
802,1941,0.8481153238179366,0.8639876352395672,3.9000000000000004,3.0
803,1845,0.8486648444070648,0.8639566395663957,4.0,3.0
801,2018,0.8467434227506582,0.8632309217046581,3.8000000000000003,3.0
566,2783,0.8446875814721474,0.8623787279913762,2.9000000000000004,2.0
800,2118,0.84499870873832,0.8616619452313503,3.7,3.0
137,4584,0.8598871626780653,0.8614746945898778,1.2000000000000002,0.1
799,2230,0.8432376768179883,0.8609865470852018,3.6,3.0
208,4332,0.8557825484764543,0.860803324099723,1.4000000000000001,0.2
798,2329,0.8421805353123689,0.8604551309574925,3.5,3.0
40,4199,0.8608540722981661,0.8604429626101453,1.0,0.02
394,3388,0.8448755931647232,0.8592089728453365,2.2,1.0
10,3254,0.8631559614228901,0.8586355255070682,1.0,0.01
84,4530,0.8580171670672287,0.8571743929359823,1.0,0.03
797,2446,0.8380264548379819,0.856909239574816,3.4000000000000004,3.0
292,4267,0.8486724364721544,0.8563393484883993,1.5,0.3
796,2560,0.8371763053435946,0.85546875,3.3000000000000003,3.0
565,2914,0.8364472838315654,0.8548387096774194,2.8000000000000003,2.0
393,3596,0.8384417108489282,0.8542825361512792,2.1,1.0
795,2705,0.8323124033563554,0.8521256931608133,3.2,3.0
39,4605,0.8529842635036151,0.8516829533116178,0.9,0.02
207,4620,0.8459751946368281,0.8510822510822511,1.3,0.2
564,3046,0.8318100503832839,0.8502954694681549,2.7,2.0
794,2820,0.8296800054184189,0.85,3.1,3.0
291,4534,0.8408443991136444,0.848919276576974,1.4000000000000001,0.3
83,4913,0.8494860207942981,0.8483614899246896,0.9,0.03
793,2953,0.8278807396951738,0.8479512360311547,3.0,3.0
9,3782,0.8513205505707419,0.8476996298254892,0.9,0.01
136,4897,0.8458509204105408,0.847457627118644,1.1,0.1
392,3793,0.8311527726760413,0.8473503822831532,2.0,1.0
563,3185,0.8275999204613242,0.8464678178963894,2.6,2.0
792,3092,0.8239857889478814,0.8437904269081501,2.9000000000000004,3.0
206,4907,0.8391302844356296,0.8434888934175667,1.2000000000000002,0.2
391,3984,0.8260617198975356,0.8423694779116466,1.9000000000000001,1.0
562,3341,0.8224366225431208,0.841664172403472,2.5,2.0
38,5077,0.8402939112607795,0.8392751624975379,0.8,0.02
791,3212,0.8175665877746762,0.8377957658779577,2.8000000000000003,3.0
561,3513,0.8165704817634294,0.8368915456874466,2.4000000000000004,2.0
290,4809,0.8291391197949036,0.8367644000831774,1.3,0.3
82,5333,0.8378488991965523,0.8366772923307707,0.8,0.03
8,4316,0.8389239497976402,0.8354958294717331,0.8,0.01
205,5202,0.8301315162323957,0.8342945021145713,1.1,0.2
390,4174,0.8170031211256681,0.8337326305701964,1.8,1.0
560,3673,0.8139837719312795,0.8336509665123877,2.3000000000000003,2.0
135,5258,0.8323406935394223,0.8335869151768733,1.0,0.1
790,3341,0.8122366743685763,0.8332834480694403,2.7,3.0
789,3488,0.8099499694231186,0.8314220183486238,2.6,3.0
788,3614,0.8072654118693782,0.8289983397897067,2.5,3.0
289,5091,0.8220379463430578,0.8285209192692987,1.2000000000000002,0.3
37,5527,0.8302455216847028,0.8284783788673783,0.7000000000000001,0.02
389,4408,0.8123092132269467,0.8280399274047187,1.7000000000000002,1.0
559,3846,0.8069662296948547,0.8265730629225169,2.2,2.0
7,4814,0.8288042027484437,0.8265475695886996,0.7000000000000001,0.01
81,5757,0.8264530923053233,0.8257773145735626,0.7000000000000001,0.03
204,5496,0.8206183562929512,0.8240538573508006,1.0,0.2
134,5580,0.8228797238112902,0.8236559139784946,0.9,0.1
787,3786,0.8000621542572566,0.8227680929741151,2.4000000000000004,3.0
558,4042,0.802160287280155,0.8213755566551212,2.1,2.0
288,5372,0.8139664426925086,0.8205510052122115,1.1,0.3
388,4654,0.8039289864303214,0.8195100988397078,1.6,1.0
557,4218,0.7981150513802135,0.817923186344239,2.0,2.0
786,3959,0.7943813935172261,0.817125536751705,2.3000000000000003,3.0
36,5995,0.8180012292617442,0.8163469557964971,0.6000000000000001,0.02
133,5926,0.8150684438681512,0.8157273034087074,0.8,0.1
785,4102,0.7931199111769061,0.8149683081423695,2.2,3.0
80,6176,0.816390517649846,0.8144430051813472,0.6000000000000001,0.03
287,5655,0.8084070308149947,0.8143236074270557,1.0,0.3
387,4880,0.7982094373990445,0.8137295081967213,1.5,1.0
203,5795,0.8099974022786638,0.813632441760138,0.9,0.2
6,5394,0.8143676596202669,0.8125695216907676,0.6000000000000001,0.01
784,4299,0.7891804390427555,0.8101884159106769,2.1,3.0
556,4447,0.7895891311200995,0.8097593883516978,1.9000000000000001,2.0
132,6274,0.8074072041737657,0.8076187440229519,0.7000000000000001,0.1
386,5118,0.7922361854300467,0.8075420085971082,1.4000000000000001,1.0
783,4485,0.786059656724027,0.8066889632107024,2.0,3.0
286,5959,0.8000764192577532,0.8056720926329921,0.9,0.3
555,4656,0.7844115435047926,0.804553264604811,1.8,2.0
35,6474,0.8054282644440426,0.8041396354649367,0.5,0.02
202,6120,0.8000354429731102,0.8029411764705883,0.8,0.2
5,5959,0.8034599779137146,0.8023158248028193,0.5,0.01
385,5354,0.7876417140640453,0.8022039596563317,1.3,1.0
79,6690,0.8028323006496307,0.8004484304932735,0.5,0.03
554,4857,0.7803305269722483,0.7996705785464279,1.7000000000000002,2.0
782,4693,0.7782370030303214,0.7994886000426167,1.9000000000000001,3.0
131,6634,0.7961830665963419,0.7960506481760627,0.6000000000000001,0.1
285,6237,0.7901467861758247,0.7957351290684624,0.8,0.3
553,5070,0.7761980892961591,0.7952662721893491,1.6,2.0
201,6473,0.7919358567894822,0.7948401050517534,0.7000000000000001,0.2
384,5627,0.7810907381023444,0.7947396481251111,1.2000000000000002,1.0
781,4891,0.7736932162443992,0.7947250051114292,1.8,3.0
34,6966,0.7956541180936758,0.7942865345966121,0.4,0.02
552,5264,0.773748936194196,0.791983282674772,1.5,2.0
78,7157,0.7928769029272895,0.7905547016906526,0.4,0.03
780,5072,0.7695670447587717,0.7900236593059937,1.7000000000000002,3.0
4,6556,0.7899163462094009,0.7895057962172056,0.4,0.01
383,5922,0.775733312695698,0.7892603850050659,1.1,1.0
551,5500,0.7690738110046269,0.7872727272727272,1.4000000000000001,2.0
130,7025,0.7860540851485647,0.7856227758007117,0.5,0.1
779,5284,0.7647439086618191,0.7852006056018168,1.6,3.0
284,6564,0.7797706445516148,0.7851919561243145,0.7000000000000001,0.3
200,6828,0.7803145073324446,0.7833919156414763,0.6000000000000001,0.2
382,6164,0.7689921394115655,0.782608695652174,1.0,1.0
778,5494,0.7625627635952831,0.7824899890789953,1.5,3.0
33,7509,0.7831349011349011,0.7817285923558397,0.30000000000000004,0.02
550,5726,0.7635132609917876,0.7809989521480964,1.3,2.0
777,5697,0.7596764948893606,0.7790064946463051,1.4000000000000001,3.0
77,7627,0.7806277888905986,0.778418775403173,0.30000000000000004,0.03
129,7384,0.7768039444545145,0.7766793066088841,0.4,0.1
3,7158,0.7759202598758044,0.7757753562447611,0.30000000000000004,0.01
549,5968,0.7579489936458896,0.7749664879356568,1.2000000000000002,2.0
283,6920,0.7695444116538253,0.7748554913294797,0.6000000000000001,0.3
199,7189,0.7716751119641715,0.7743775212129642,0.5,0.2
381,6423,0.760824633635041,0.7740931029114121,0.9,1.0
776,5928,0.7540183596880762,0.7729419703103914,1.3,3.0
548,6197,0.7536950730589571,0.770856866225593,1.1,2.0
775,6154,0.7506504260444096,0.7692557686057848,1.2000000000000002,3.0
380,6690,0.7550389015638808,0.7680119581464873,0.8,1.0
32,8013,0.7678450167555095,0.7670036191189318,0.2,0.02
76,8102,0.7684640032389287,0.7667242656134288,0.2,0.03
282,7253,0.7610494149057518,0.7661657245277816,0.5,0.3
198,7535,0.7617581106499401,0.7645653616456536,0.4,0.2
547,6466,0.7469096880193955,0.7643055985153109,1.0,2.0
128,7796,0.7632441404895638,0.7635967162647511,0.30000000000000004,0.1
2,7774,0.7622455270312102,0.7630563416516594,0.2,0.01
774,6408,0.7440033916469933,0.7624843945068664,1.1,3.0
379,6990,0.7491731988558303,0.7612303290414878,0.7000000000000001,1.0
281,7605,0.754482109227872,0.759500328731098,0.4,0.3
546,6683,0.742026207844966,0.7590902289390992,0.9,2.0
773,6605,0.739287900944709,0.7577592732778198,1.0,3.0
31,8528,0.7567572359983354,0.7560975609756098,0.1,0.02
197,7917,0.7529274325048974,0.7558418592901351,0.30000000000000004,0.2
378,7267,0.743074934314451,0.7550571074721343,0.6000000000000001,1.0
545,6972,0.7373234090721974,0.7535857716580608,0.8,2.0
75,8595,0.7546607799633482,0.7533449680046539,0.1,0.03
127,8225,0.7504383074847958,0.7516109422492401,0.2,0.1
772,6834,0.7328064672725598,0.7506584723441615,0.9,3.0
280,7968,0.7445609125652446,0.7498744979919679,0.30000000000000004,0.3
544,7210,0.7308025911286781,0.7472954230235783,0.7000000000000001,2.0
1,8409,0.7459288483498565,0.7469378047330242,0.1,0.01
377,7562,0.7351102158800151,0.7464956360751124,0.5,1.0
771,7102,0.7265904382212747,0.7444381864263587,0.8,3.0
196,8281,0.7405716241210202,0.7442337881898321,0.2,0.2
30,9061,0.743452117650223,0.7424125372475444,0.0,0.02
543,7466,0.7250356988806491,0.7410929547281008,0.6000000000000001,2.0
74,9065,0.7419640777308507,0.7406508549365692,0.0,0.03
279,8348,0.7342542354647463,0.7395783421178725,0.2,0.3
126,8649,0.7386423981383239,0.7392762169036883,0.1,0.1
770,7341,0.7206644814601633,0.73872769377469,0.7000000000000001,3.0
376,7852,0.725275447780815,0.7366276107997962,0.4,1.0
769,7577,0.7172715972426434,0.7349874620562228,0.6000000000000001,3.0
542,7716,0.7194255879429108,0.7349663037843442,0.5,2.0
0,9053,0.7321656465193158,0.7334585220368939,0.0,0.01
195,8660,0.7291814586574021,0.7326789838337182,0.1,0.2
375,8145,0.7185034162833159,0.7302639656230816,0.30000000000000004,1.0
278,8692,0.7247629322546283,0.7292913023469857,0.1,0.3
768,7808,0.7123458573021719,0.7292520491803278,0.5,3.0
125,9067,0.7264580127904314,0.7273629645968899,0.0,0.1
541,7977,0.7115901334682593,0.7269650244452802,0.4,2.0
374,8451,0.7125609979820217,0.7239379955034907,0.2,1.0
767,8049,0.7074663355696127,0.723692384147099,0.4,3.0
194,9067,0.7173400049432439,0.7210764310135657,0.0,0.2
540,8255,0.7046683346316648,0.719442761962447,0.30000000000000004,2.0
277,9067,0.7137195511670344,0.7186500496305283,0.0,0.3
373,8756,0.7055418748190676,0.7167656464138876,0.1,1.0
766,8302,0.7005463715636564,0.7164538665381835,0.30000000000000004,3.0
539,8521,0.6994669088867999,0.7134139185541604,0.2,2.0
372,9067,0.6987940278902582,0.7097165545384361,0.0,1.0
765,8564,0.6936830814303048,0.7093647828117702,0.2,3.0
538,8775,0.6930059189742726,0.707008547008547,0.1,2.0
764,8822,0.688448604166274,0.7034686012242122,0.1,3.0
537,9067,0.6871838542779233,0.7011139296349399,0.0,2.0
763,9067,0.6832263925063139,0.6978052277489798,0.0,3.0
